"Authors","Year","Title","Journal","Doi","URL","Human","No.access","Lat_Deg","Lon_Deg","Location","country"
"Mukhongo, JN; Kinyamario, JI; Chira, RM; Musila, W",2011,"Assessment of soil seed bank from six different vegetation types in Kakamega forest, Western Kenya","AFRICAN JOURNAL OF BIOTECHNOLOGY","None","https://scholar.google.com/scholar?q=Assessment+of+soil+seed+bank+from+six+different+vegetation+types+in+Kakamega+forest,+Western+Kenya","JP","",0.2905,34.8894,"Kakamega Forest, Kenya","Kenya"
"Sccoti, MSV; Araujo, MM; Wendler, CF; Longhi, SJ",2011,"NATURAL REGENERATION MECHANISMS IN A SEASONAL DECIDUOUS FOREST FRAGMENT","CIENCIA FLORESTAL","None","https://scholar.google.com/scholar?q=NATURAL+REGENERATION+MECHANISMS+IN+A+SEASONAL+DECIDUOUS+FOREST+FRAGMENT","IK","Just abstract in english",-29.7854,-53.8684,"Santa Maria, Brazil","Brazil"
"Tefera, S",2011,"Soil seed bank dynamics in relation to land management and soil types in the semi-arid savannas of Swaziland","AFRICAN JOURNAL OF AGRICULTURAL RESEARCH","None","https://scholar.google.com/scholar?q=Soil+seed+bank+dynamics+in+relation+to+land+management+and+soil+types+in+the+semi-arid+savannas+of+Swaziland","JP","",-26.9151,31.8978,"Bigbend, Lowveld, Eastern Swaziland","Eswatini"
"Tefera, S",2011,"Soil seed bank dynamics in relation to land management and soil types in the semi-arid savannas of Swaziland","AFRICAN JOURNAL OF AGRICULTURAL RESEARCH","None","https://scholar.google.com/scholar?q=Soil+seed+bank+dynamics+in+relation+to+land+management+and+soil+types+in+the+semi-arid+savannas+of+Swaziland","JP","",-26.153,32.0091,"Simunye, Lowveld, Eastern Swaziland","Eswatini"
"Parlak, AO; Gokkus, A; Demiray, HC",2011,"Soil Seed Bank and Aboveground Vegetation in Grazing Lands of Southern Marmara, Turkey","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","None","https://scholar.google.com/scholar?q=Soil+Seed+Bank+and+Aboveground+Vegetation+in+Grazing+Lands+of+Southern+Marmara,+Turkey","AA","",40.141476,26.447354,"Çanakkale, Turkey","Turkey"
"Parlak, AO; Gokkus, A; Demiray, HC",2011,"Soil Seed Bank and Aboveground Vegetation in Grazing Lands of Southern Marmara, Turkey","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","None","https://scholar.google.com/scholar?q=Soil+Seed+Bank+and+Aboveground+Vegetation+in+Grazing+Lands+of+Southern+Marmara,+Turkey","AA","",40.141476,26.447354,"Çanakkale, Turkey","Turkey"
"Parlak, AO; Gokkus, A; Demiray, HC",2011,"Soil Seed Bank and Aboveground Vegetation in Grazing Lands of Southern Marmara, Turkey","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","None","https://scholar.google.com/scholar?q=Soil+Seed+Bank+and+Aboveground+Vegetation+in+Grazing+Lands+of+Southern+Marmara,+Turkey","AA","",40.141476,26.447354,"Çanakkale, Turkey","Turkey"
"Parlak, AO; Gokkus, A; Demiray, HC",2011,"Soil Seed Bank and Aboveground Vegetation in Grazing Lands of Southern Marmara, Turkey","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","None","https://scholar.google.com/scholar?q=Soil+Seed+Bank+and+Aboveground+Vegetation+in+Grazing+Lands+of+Southern+Marmara,+Turkey","AA","",40.141476,26.447354,"Çanakkale, Turkey","Turkey"
"Parlak, AO; Gokkus, A; Demiray, HC",2011,"Soil Seed Bank and Aboveground Vegetation in Grazing Lands of Southern Marmara, Turkey","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","None","https://scholar.google.com/scholar?q=Soil+Seed+Bank+and+Aboveground+Vegetation+in+Grazing+Lands+of+Southern+Marmara,+Turkey","AA","",40.141476,26.447354,"Çanakkale, Turkey","Turkey"
"Parlak, AO; Gokkus, A; Demiray, HC",2011,"Soil Seed Bank and Aboveground Vegetation in Grazing Lands of Southern Marmara, Turkey","NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA","None","https://scholar.google.com/scholar?q=Soil+Seed+Bank+and+Aboveground+Vegetation+in+Grazing+Lands+of+Southern+Marmara,+Turkey","AA","",40.141476,26.447354,"Çanakkale, Turkey","Turkey"
"Li, YJ; Bao, WK; Wu, N",2011,"SOIL SEED BANK AND EXTANT VEGETATION OF A DRY VALLEY","POLISH JOURNAL OF ECOLOGY","None","https://scholar.google.com/scholar?q=SOIL+SEED+BANK+AND+EXTANT+VEGETATION+OF+A+DRY+VALLEY","AA","",31.82083,103.7042,"Sichuan  Province,    Southwest    China","China"
"Martinez-Orea, Y; Castillo-Arguero, S; Guadarrama-Chavez, MP; Sanchez, I",2010,"POST-FIRE SEED BANK IN A XEROPHYTIC SHRUBLAND","BOLETIN DE LA SOCIEDAD BOTANICA DE MEXICO","None","https://scholar.google.com/scholar?q=POST-FIRE+SEED+BANK+IN+A+XEROPHYTIC+SHRUBLAND","AA","",19.315,-99.185,"El Pedregal de San Án-el, Mexico","Mexico"
"Espigares, T; Lopez-Pintor, A",2005,"Seed predation in a Mediterranean pasture: can ants modify the floristic composition of soil seed banks?","REVISTA CHILENA DE HISTORIA NATURAL","None","https://scholar.google.com/scholar?q=Seed+predation+in+a+Mediterranean+pasture:+can+ants+modify+the+floristic+composition+of+soil+seed+banks?","JP","",40.5241,-3.3133,"El Encin estate, Alcala de Henares, central Spain","Spain"
"Kemeny, G; Nagy, Z; Tuba, Z",2005,"Seed bank dynamics in a semiarid sandy grassland in Hungary","EKOLOGIA-BRATISLAVA","None","https://scholar.google.com/scholar?q=Seed+bank+dynamics+in+a+semiarid+sandy+grassland+in+Hungary","ED","",46.8374,19.1946,"Kecskemét, Hungarian Great Plain, Hungary","Hungary"
"Kemeny, G; Nagy, Z; Tuba, Z",2005,"Seed bank dynamics in a semiarid sandy grassland in Hungary","EKOLOGIA-BRATISLAVA","None","https://scholar.google.com/scholar?q=Seed+bank+dynamics+in+a+semiarid+sandy+grassland+in+Hungary","ED","",46.8374,19.1946,"Kecskemét, Hungarian Great Plain, Hungary","Hungary"
"Kemeny, G; Nagy, Z; Tuba, Z",2005,"Seed bank dynamics in a semiarid sandy grassland in Hungary","EKOLOGIA-BRATISLAVA","None","https://scholar.google.com/scholar?q=Seed+bank+dynamics+in+a+semiarid+sandy+grassland+in+Hungary","ED","",46.8374,19.1946,"Kecskemét, Hungarian Great Plain, Hungary","Hungary"
"Kemeny, G; Nagy, Z; Tuba, Z",2005,"Seed bank dynamics in a semiarid sandy grassland in Hungary","EKOLOGIA-BRATISLAVA","None","https://scholar.google.com/scholar?q=Seed+bank+dynamics+in+a+semiarid+sandy+grassland+in+Hungary","ED","",46.8374,19.1946,"Kecskemét, Hungarian Great Plain, Hungary","Hungary"
